x,y,id,Clase,Codigo,B1_mean,B1_std,B1_count,B2_mean,B2_std,B2_count,B3_mean,B3_std,B3_count,B4_mean,B4_std,B4_count,B5_mean,B5_std,B5_count,B6_mean,B6_std,B6_count,B7_mean,B7_std,B7_count,B8_mean,B8_std,B8_count,B9_mean,B9_std,B9_count,NDVI,date
214126.2727752241,4352464.023717837,1,Argila,101,0.035426949817384,0.003642362345085425,823,0.033747776165912395,0.003197563212853071,823,0.06852139997887872,0.00786577796175016,823,0.03449902123118664,0.0035508404760909947,823,0.09560070756284174,0.00644041789269356,823,0.2064373067343655,0.014241705072616972,823,0.25629014377895276,0.018631437586277284,823,0.3000865764780149,0.032503254725866834,823,0.25604244338785315,0.01952699179893143,823,0.7937805962516606,2023-07-11
214125.68344212076,4352463.183672551,2,55,102,0.042976594163010015,0.002902802653040827,373,0.027193064344472603,0.0026296727906024425,373,0.04679972876172922,0.005559157849310238,373,0.029364567979091614,0.002840633713967455,373,0.07812519831759485,0.003929784621554142,327,0.16220571400333025,0.010619411747622758,373,0.20925878775343498,0.013018737909251656,373,0.210852124416157,0.024360426237262818,373,0.20609960479327244,0.013495651796722961,373,0.7555160077653917,2023-07-11
214125.09071302266,4352462.221601315,3,62,103,0.04146187671561366,0.0023977201163282373,267,0.0290480749437425,0.0030955003343665693,267,0.05184357889582602,0.00833367612267704,267,0.031912189297908254,0.0032034675782477533,267,0.08091882335822392,0.0056303195270522724,263,0.16509138243028734,0.011418481669365214,267,0.21130562542976064,0.014636388874883314,267,0.2057357102297665,0.02427485995333066,267,0.2081798596328564,0.013286763355052104,267,0.7314330203520945,2023-07-11
214124.6119079878,4352461.2935501635,4,147,104,0.0409866775447948,0.001711547427770161,707,0.028816795079340523,0.0018498815397034387,707,0.05364772251674107,0.004908541207285004,707,0.02935542817500221,0.0020223943006133878,707,0.08249151520166086,0.003832790604278902,703,0.19180379864855907,0.009491133751099882,707,0.25043212372646306,0.014396485265956866,707,0.2888181867154349,0.024178204813383695,707,0.24961585405017903,0.014277605217859746,707,0.8154754083860114,2023-07-11
214124.0741541735,4352460.407279911,5,131,105,0.041031653184984904,0.0020759861559535944,709,0.02854139814928321,0.0018644207233398952,709,0.053387979526277655,0.004578971482822768,709,0.028704628453436288,0.0024251246632556707,709,0.08252197851666686,0.003738040990676125,703,0.19289481051381788,0.009647209388101504,709,0.2509078871884366,0.0152264927122077,709,0.2905349193406206,0.0250357741340249,709,0.25017688573667796,0.015607113348712577,709,0.8201687187456248,2023-07-11
214123.50591245812,4352459.48477417,6,28,106,0.0396273302319718,0.0027692959780006555,703,0.029565765033575414,0.002446178646743865,703,0.05200489418604974,0.005159706525976811,703,0.029919660956218605,0.0024669885592065403,703,0.08115758481233017,0.00399447064402958,690,0.1853990188533517,0.008929427145786964,703,0.23996783455947723,0.013049245455344074,703,0.2660311485930832,0.02187563460333117,703,0.23920867181943456,0.01266472111729715,703,0.7978065273632281,2023-07-11
214122.87052755817,4352458.655820628,7,Argila,107,0.04115680316547016,0.002477640283770139,333,0.028942658020569396,0.0023371789437960926,333,0.05151111156016857,0.005495694933743493,333,0.03230432848314623,0.002425934073541318,333,0.0815594261146384,0.004251450972087672,331,0.16924443975225226,0.009473540253902154,333,0.2163308175118478,0.011059974068020952,333,0.21977485908760322,0.021107247807492163,333,0.21368774780640015,0.010666161648024306,333,0.7436969803460702,2023-07-11
214122.38534349544,4352457.678471598,8,33,108,0.03947447744758862,0.0032951606056782403,774,0.029889513355816983,0.002863494745018477,774,0.05800309292105741,0.006488179208200327,774,0.029241115855924225,0.003071906997220263,774,0.08512963298684104,0.004998461895398868,773,0.1978533643776748,0.011143723245155657,774,0.2552122761728844,0.017243268415727014,774,0.3005499236035409,0.028617946733399537,774,0.2538133764143754,0.017426722166399667,774,0.8226688274863316,2023-07-11
214121.79622059374,4352456.716611169,9,8,109,0.03973216513383863,0.0033396962332477367,729,0.030022143663529344,0.0030338512956592095,729,0.05726092407896358,0.0069742966233886615,729,0.030639957171572252,0.003894505355489262,729,0.0854021952702449,0.005595003277574828,728,0.1907189556273577,0.01081036095112072,729,0.24410571188593108,0.014423931235917283,729,0.2751890164180384,0.024668442524929318,729,0.24216439203960904,0.01393831698433975,729,0.7996268514919207,2023-07-11
214121.24564978486,4352455.850517036,10,64,110,0.04216407755090365,0.0023462894189319526,734,0.0274833554467973,0.0020624519661467467,734,0.049646715377267114,0.004725448185522141,734,0.027644799255870017,0.0025842157502844925,734,0.0796203124913179,0.0036042334351178472,703,0.18706497899193206,0.007775817793935944,734,0.24581688821153355,0.01257451881742953,734,0.2799127978914765,0.021959064848582517,734,0.24456866105830638,0.012381658552361955,734,0.8202300999079154,2023-07-11
214120.6968056815,4352454.929863246,11,85,111,0.04003342300449797,0.0026184499658736446,878,0.029327023273720013,0.0023802126854625544,878,0.05615071881061806,0.005298877553035722,878,0.028780974125264716,0.003734658973615931,878,0.08470059961827306,0.004537986385683445,878,0.20649517641523704,0.01107470779042759,878,0.27050746491938354,0.01850418724220579,878,0.32779754430123503,0.03415861276643995,878,0.27081476094239393,0.019760596284466716,878,0.8385714638544766,2023-07-11
