Parcela,Codi,Bloque,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
1125,44,3,100,20230918,18/9/2023,"0,023","0,001","0,069","0,005","0,106","0,006","0,140","0,012","0,181","0,008","0,247","0,015","0,285","0,019","0,297","0,033","0,315","0,013","0,359","0,061"
1125,44,3,200,20230918,18/9/2023,"0,024","0,002","0,066","0,009","0,102","0,009","0,133","0,017","0,175","0,011","0,235","0,020","0,269","0,025","0,276","0,042","0,303","0,017","0,352","0,088"
198,45,2,100,20230711,11/7/2023,"0,022","0,000","0,037","0,002","0,065","0,004","0,049","0,002","0,090","0,003","0,176","0,010","0,242","0,007","0,165","0,030","0,247","0,004","0,541","0,066"
198,45,2,200,20230711,11/7/2023,"0,022","0,000","0,036","0,001","0,068","0,004","0,049","0,002","0,092","0,003","0,187","0,009","0,250","0,006","0,201","0,028","0,252","0,004","0,609","0,045"
198,45,2,100,20230718,18/7/2023,"0,015","0,004","0,032","0,004","0,063","0,006","0,039","0,003","0,087","0,006","0,210","0,015","0,296","0,017","0,264","0,028","0,296","0,015","0,745","0,029"
198,45,2,200,20230718,18/7/2023,"0,009","0,004","0,029","0,004","0,060","0,005","0,034","0,002","0,085","0,006","0,212","0,012","0,302","0,014","0,271","0,023","0,301","0,012","0,775","0,022"
198,45,2,100,20230808,8/8/2023,"0,021","0,001","0,016","0,002","0,048","0,005","0,022","0,001","0,098","0,001","0,269","0,032","0,355","0,037","0,355","0,045","0,364","0,035","0,884","0,015"
198,45,2,200,20230808,8/8/2023,"0,022","0,001","0,017","0,002","0,051","0,005","0,023","0,003","0,098","0,001","0,302","0,027","0,398","0,029","0,426","0,036","0,424","0,028","0,898","0,013"
198,45,2,100,20230825,25/8/2023,"0,028","0,002","0,018","0,004","0,049","0,006","0,030","0,002","0,103","0,002","0,207","0,014","0,254","0,017","0,237","0,020","0,271","0,013","0,772","0,021"
198,45,2,200,20230825,25/8/2023,"0,030","0,002","0,023","0,005","0,056","0,008","0,033","0,003","0,105","0,003","0,227","0,016","0,287","0,022","0,282","0,025","0,298","0,016","0,792","0,023"
198,45,2,100,20230907,7/9/2023,"0,045","0,000","0,038","0,006","0,081","0,013","0,053","0,008","0,139","0,014","0,298","0,015","0,368","0,019","0,382","0,018","0,454","0,030","0,757","0,034"
198,45,2,200,20230907,7/9/2023,"0,044","0,000","0,032","0,004","0,065","0,007","0,050","0,004","0,124","0,008","0,259","0,013","0,323","0,015","0,327","0,016","0,376","0,023","0,737","0,023"
