Parcela,Codi,Bloque,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
1140,181,3,100,20230918,18/9/2023,"0,026","0,001","0,060","0,007","0,099","0,007","0,122","0,016","0,176","0,011","0,255","0,015","0,304","0,019","0,337","0,035","0,332","0,014","0,467","0,066"
1140,181,3,200,20230711,11/7/2023,"0,022","0,000","0,035","0,002","0,063","0,004","0,047","0,003","0,089","0,003","0,195","0,010","0,260","0,008","0,245","0,034","0,259","0,005","0,679","0,040"
1140,181,3,200,20230718,18/7/2023,"0,006","0,003","0,026","0,002","0,054","0,003","0,035","0,002","0,079","0,003","0,210","0,009","0,304","0,012","0,281","0,021","0,307","0,010","0,780","0,018"
1140,181,3,200,20230808,8/8/2023,"0,022","0,002","0,017","0,003","0,050","0,008","0,022","0,003","0,098","0,001","0,305","0,040","0,406","0,035","0,425","0,044","0,428","0,037","0,901","0,015"
1140,181,3,200,20230825,25/8/2023,"0,032","0,004","0,032","0,011","0,075","0,019","0,045","0,011","0,116","0,008","0,261","0,031","0,327","0,040","0,334","0,050","0,341","0,032","0,761","0,058"
1140,181,3,200,20230907,7/9/2023,"0,045","0,000","0,046","0,008","0,079","0,011","0,077","0,015","0,148","0,015","0,261","0,014","0,313","0,015","0,315","0,017","0,369","0,024","0,606","0,062"
1140,181,3,200,20230918,18/9/2023,"0,027","0,001","0,055","0,006","0,093","0,006","0,110","0,015","0,167","0,008","0,236","0,012","0,275","0,016","0,286","0,027","0,311","0,012","0,443","0,068"
135,182,1,100,20230711,11/7/2023,"0,022","0,000","0,035","0,001","0,065","0,004","0,045","0,002","0,089","0,003","0,213","0,009","0,278","0,007","0,330","0,031","0,270","0,004","0,759","0,021"
135,182,1,100,20230718,18/7/2023,"0,010","0,004","0,029","0,003","0,059","0,004","0,032","0,002","0,082","0,005","0,230","0,009","0,341","0,014","0,357","0,022","0,339","0,011","0,835","0,014"
135,182,1,100,20230808,8/8/2023,"0,022","0,001","0,017","0,002","0,046","0,005","0,024","0,003","0,098","0,001","0,258","0,024","0,357","0,029","0,373","0,035","0,383","0,031","0,878","0,017"
135,182,1,100,20230825,25/8/2023,"0,028","0,002","0,023","0,006","0,056","0,011","0,043","0,010","0,107","0,006","0,204","0,020","0,245","0,026","0,225","0,031","0,265","0,021","0,678","0,074"
135,182,1,100,20230907,7/9/2023,"0,046","0,001","0,050","0,015","0,088","0,025","0,099","0,032","0,168","0,037","0,276","0,035","0,326","0,035","0,330","0,040","0,392","0,064","0,540","0,124"
135,182,1,100,20230918,18/9/2023,"0,026","0,002","0,058","0,009","0,097","0,010","0,125","0,023","0,174","0,015","0,241","0,028","0,281","0,037","0,298","0,068","0,315","0,028","0,408","0,123"
135,182,1,200,20230711,11/7/2023,"0,022","0,000","0,034","0,001","0,063","0,003","0,044","0,002","0,088","0,002","0,215","0,010","0,280","0,009","0,344","0,038","0,273","0,005","0,775","0,023"
135,182,1,200,20230718,18/7/2023,"0,008","0,004","0,027","0,003","0,057","0,004","0,033","0,002","0,081","0,005","0,218","0,019","0,323","0,026","0,318","0,046","0,323","0,024","0,810","0,027"
135,182,1,200,20230808,8/8/2023,"0,022","0,002","0,016","0,002","0,046","0,005","0,024","0,003","0,098","0,001","0,270","0,024","0,371","0,026","0,389","0,034","0,396","0,031","0,886","0,016"
135,182,1,200,20230825,25/8/2023,"0,030","0,003","0,027","0,011","0,068","0,023","0,059","0,025","0,117","0,014","0,238","0,055","0,296","0,068","0,302","0,085","0,312","0,058","0,673","0,137"
135,182,1,200,20230907,7/9/2023,"0,045","0,001","0,040","0,013","0,069","0,019","0,066","0,021","0,132","0,024","0,237","0,020","0,283","0,020","0,274","0,022","0,311","0,035","0,613","0,101"
135,182,1,200,20230918,18/9/2023,"0,026","0,002","0,059","0,011","0,097","0,011","0,114","0,024","0,169","0,014","0,236","0,023","0,272","0,028","0,274","0,048","0,305","0,020","0,410","0,113"
1100,183,2,100,20230711,11/7/2023,"0,022","0,000","0,036","0,002","0,067","0,005","0,046","0,002","0,091","0,004","0,212","0,013","0,274","0,010","0,312","0,043","0,267","0,006","0,744","0,032"
1100,183,2,100,20230718,18/7/2023,"0,011","0,006","0,030","0,005","0,063","0,008","0,034","0,004","0,088","0,009","0,240","0,015","0,346","0,018","0,368","0,031","0,343","0,015","0,830","0,022"
1100,183,2,100,20230808,8/8/2023,"0,027","0,003","0,025","0,004","0,064","0,009","0,033","0,005","0,100","0,001","0,305","0,031","0,388","0,031","0,406","0,037","0,408","0,031","0,851","0,024"
