Variedad,N,codi,B1_mean,B1_std,B1_count,B2_mean,B2_std,B2_count,B3_mean,B3_std,B3_count,B4_mean,B4_std,B4_count,B5_mean,B5_std,B5_count,B6_mean,B6_std,B6_count,B7_mean,B7_std,B7_count,B8_mean,B8_std,B8_count,B9_mean,B9_std,B9_count,NDVI,date
M76,200.0,303,0.05540097676790678,0.0012263772645494575,520,0.06493883866530198,0.002049023797518656,520,0.09389422490046574,0.002851950053643701,520,0.08241307185246394,0.003625740562868416,520,0.13319655198317307,0.003793671671836587,520,0.2334563475388747,0.01166776103404915,520,0.2648158146784856,0.013666888302031773,520,0.25675125122070314,0.01670094548991676,520,0.26812565143291767,0.012123708843576124,520,0.5140227538927485,2024-06-26
M110B,200.0,403,0.05559102594101759,0.0022896031085920063,794,0.06567029208320214,0.0035984130101572222,794,0.09539369251625965,0.004299044344952073,794,0.08503144694215405,0.006605937108632887,794,0.13549939210829268,0.0053736241914193105,794,0.23156953518576825,0.013363673634224192,794,0.26263114487193995,0.017063143443653096,794,0.25416989650774363,0.019355719928652978,794,0.26520325014513146,0.015141637853669317,794,0.49863732214425177,2024-06-26
M2,200.0,104,0.0568995475769043,0.0011718662851237494,696,0.06693388401776895,0.002049386533921291,696,0.0982320829369556,0.0031826636288981294,696,0.08319595490378895,0.004167258243391066,696,0.13894231292023057,0.004072315142664011,696,0.24942849696367636,0.017902168970122867,696,0.2842754934025907,0.024509118253592102,696,0.27848245905733654,0.027458784488040972,696,0.2855854472894778,0.02153710233247344,696,0.539945146338033,2024-06-26
M62,200.0,204,0.05474606875715585,0.0011250697475081075,696,0.06356063930467627,0.001917712298132351,696,0.09503189174608252,0.0025083753939075626,696,0.07933477423656946,0.003616934289874379,696,0.13598036492007903,0.003355702158946908,696,0.25222458236518946,0.011492330443679925,696,0.28899458084983387,0.014807996147097826,696,0.2848422609526536,0.016704412313303482,696,0.2898981379366469,0.01340145358816693,696,0.564306551096239,2024-06-26
M110B,200.0,304,0.05514689705114195,0.001239134329712971,731,0.06437898628036562,0.0019079662258278515,731,0.0937693291910696,0.0029240923068252446,731,0.08143738878409285,0.003525475409918794,731,0.13398794860422367,0.003987355436865538,731,0.23874646563862645,0.012129955008452525,731,0.2717959173074662,0.014702580738010906,731,0.2652305049870148,0.016619999085814626,731,0.27483959693752136,0.013281305620823497,731,0.5301705739276621,2024-06-26
M38,200.0,404,0.05616747464104922,0.001767733584218636,686,0.06660849568447635,0.0026879575080691128,686,0.09634696359884634,0.0036263526411326676,686,0.08617444497155727,0.005158556166127222,686,0.13605001021404656,0.004880351843931619,686,0.22852078540679666,0.012356991830719278,686,0.2580436506354774,0.01543570239122482,686,0.24881755506331998,0.017626419209269998,686,0.2612422576103544,0.013535207620611937,686,0.4855134154691137,2024-06-26
M25,200.0,105,0.054418433404737905,0.001074664856931318,775,0.06298512612619708,0.0016927931490294558,775,0.0919964599609375,0.003184030085068554,775,0.07826871810420867,0.003003211032010248,775,0.13168055380544355,0.0046038889332840295,775,0.24223197690902218,0.013723136576357176,775,0.2766922883064516,0.017989212078529083,775,0.2700272492439516,0.019664252447838038,775,0.2797938980594758,0.01570655354403912,775,0.5505620194220024,2024-06-26
QJGC,200.0,205,0.055677651172846704,0.0035364585237576103,1005,0.065751367066037,0.0056637371804068104,1005,0.09772461848472482,0.007297541475133886,1005,0.08326185235929727,0.00850130124246438,1005,0.13834513953669153,0.0084333422393487,1005,0.23909878707050683,0.014251045111649891,1005,0.26929287886738185,0.017094473972933566,1005,0.2606580743742226,0.018812117420615743,1005,0.2719495782804726,0.015196806051709675,1005,0.5158067568221413,2024-06-26
JSENDRA,200.0,305,0.05509761954692985,0.001477264313672096,819,0.06433651822827238,0.0022861988075031942,819,0.09266432504805308,0.003324687010578292,819,0.0814711648757059,0.00430400665342288,819,0.13176741268171932,0.004167666654426286,819,0.23476956731961615,0.011862703629471763,819,0.2680812178950607,0.016131535524872443,819,0.26111190106551435,0.017875079232217036,819,0.2716625246227297,0.013961879732301974,819,0.5243713249405938,2024-06-26
M28,200.0,405,0.056885396401713216,0.0017638556785363366,889,0.06776497736824645,0.002878322195168232,889,0.10029746228315699,0.004041581728526327,889,0.08649168239803764,0.005779846873331785,889,0.14024340154349602,0.005145090200498272,889,0.23697934402791937,0.01599159216518344,889,0.26704882180865086,0.020530283845281223,889,0.2589444137933686,0.023143096491061256,889,0.26918436571771304,0.017498356012165855,889,0.4992319369536148,2024-06-26
M28,200.0,106,0.05797896846648185,0.0031447680272605923,992,0.06859540939331055,0.0053958053529623426,992,0.09926952085187359,0.006853256906431935,992,0.08610916137695312,0.0085659714899144,992,0.1395287359914472,0.008828384065993516,992,0.23728802896315052,0.017556941515625913,992,0.2658751395440871,0.021164262626876873,992,0.2566438336526194,0.023928615216188595,992,0.26985679134245844,0.018393490912685155,992,0.49754393031912864,2024-06-26
M76,200.0,206,0.056493567803145225,0.0021191789225356605,927,0.06648972890909435,0.0034789948837079215,927,0.09639327657261326,0.0044193983099351675,927,0.08421154495453242,0.006520267976030433,927,0.1368714037322175,0.005544478906771255,927,0.2340226322573237,0.012950523390673326,927,0.26419120056086504,0.017118910042255662,927,0.25507562960364416,0.019451671079878156,927,0.26773851511933655,0.015378723016868162,927,0.5035972399240047,2024-06-26
M2,200.0,306,0.055540150609509696,0.00140972869998724,928,0.06509636599442055,0.0021005565586258083,928,0.09800123346262965,0.0030686313471719245,928,0.0802989334895693,0.004098585794477105,928,0.13889449218223834,0.004072380591154576,928,0.25831105791289233,0.014077571017647651,928,0.2963714599609375,0.01845924306000092,928,0.2941668280239763,0.021525848669197056,928,0.2972841591670595,0.01656169628531525,928,0.5711280349636738,2024-06-26
M62,200.0,406,0.05358397702136672,0.0014260315229746969,830,0.06238858326371894,0.002361444542801136,830,0.0944331157638366,0.0031528670183126367,830,0.07841197553887425,0.003982300145379623,830,0.1334850816841585,0.003944319921330565,830,0.2478100144719503,0.012273161543495675,830,0.2861274627317865,0.01667958782099725,830,0.28219964820218374,0.019869549412979297,830,0.28707051104809866,0.014961584473178075,830,0.5651167606556187,2024-06-26
M38,200.0,107,0.05539129032111316,0.001422433238789617,805,0.06456038670510239,0.0024735850771785404,805,0.09290358264994177,0.003896953750467644,805,0.08140137476950698,0.004559561777063947,805,0.1317738787728067,0.004945543118822306,805,0.2327949286988063,0.011368696745486611,805,0.26467360976319876,0.015822154482634538,805,0.25528115219210984,0.017844653186427525,805,0.2693741508152174,0.013767075747025851,805,0.516450256542199,2024-06-26
M97,200.0,207,0.05338710628143729,0.0012241373138138572,657,0.06194032526814593,0.0019373306964727134,657,0.09439727922552797,0.0032568022612859235,657,0.07860844465514115,0.0033723766379290337,657,0.13603312638978074,0.0043644465523023975,657,0.2461812151440021,0.012361054737557846,657,0.2784434047100932,0.015147772294403216,657,0.270553008243555,0.016911708728264342,657,0.2803333578588756,0.013332616704136714,657,0.5497301090796629,2024-06-26
RICASTELLO,200.0,307,0.05488625919117647,0.0018128270668601929,850,0.06494102926815257,0.0031410191582436865,850,0.09899412267348345,0.004426998351051087,850,0.08303307028377757,0.006135406605928362,850,0.1409447883157169,0.006145253137787727,850,0.24952448227826288,0.017003969114767783,850,0.2822586598115809,0.021058608657129132,850,0.27644841811236215,0.023994903815521048,850,0.28470301011029414,0.018618794991883212,850,0.53803979918834,2024-06-26
QJGC,200.0,407,0.05504303803315034,0.0016602105004009443,925,0.06509106610272382,0.002725066944305825,925,0.09757304423564189,0.004888362259539234,925,0.08313149117134713,0.005986308952911639,925,0.13654287802206502,0.006022245134650337,925,0.23770524308488175,0.015603479137385237,925,0.26996463260135134,0.01846040314086587,925,0.2622909958298142,0.02140328361085034,925,0.27190310916385135,0.016283599031702622,925,0.5186677515232664,2024-06-26
M62,200.0,108,0.05489313950273023,0.000909188878943012,754,0.06330544752530773,0.0017687881479212316,754,0.09307535510480562,0.0028370756791387956,754,0.07773584522682413,0.0033760336125621473,754,0.13280833115312085,0.003825162714670036,754,0.2510042873554584,0.013724083583503641,754,0.28811378377818303,0.019671624307449426,754,0.28244443534223723,0.020986620766038466,754,0.29018857434826756,0.01717008609395802,754,0.5683503544169238,2024-06-26
COPS7,200.0,208,0.0554790453575636,0.001269906238176614,882,0.06488535788053829,0.0020301918746015056,882,0.09550637831222984,0.0029988517103224444,882,0.08117392057734552,0.004036745112665242,882,0.13601039272317,0.00410882130085659,882,0.24741797760770975,0.015093095299717812,882,0.28242464995438277,0.019073101946498413,882,0.27506112511736464,0.020757437661224367,882,0.2834816411509265,0.0166558239008562,882,0.5442676313946341,2024-06-26
M28,200.0,308,0.05782685568694917,0.001184907078974969,1007,0.0688624377283818,0.0019547360468258495,1007,0.10063080470398617,0.0033565324001564034,1007,0.08682975276579569,0.003864333331505228,1007,0.14020687584370345,0.004417735522481971,1007,0.24030386537402246,0.015788266022912476,1007,0.2703253434454909,0.018978067847924,1007,0.26248171975856505,0.021012502926569466,1007,0.27271604869429616,0.01646043660890212,1007,0.5028519839998085,2024-06-26
M97,200.0,408,0.05417341944259432,0.0020275776047450453,1085,0.06387021113101239,0.0032664169792478268,1085,0.09787219350788451,0.004256977586788383,1085,0.08216706025435627,0.005965872948596691,1085,0.13903528732088855,0.0050458251965211625,1085,0.2422821748091878,0.014654464382418322,1085,0.2726173787622408,0.019120694701454933,1085,0.26464393721198154,0.021714545072107058,1085,0.2740809286794355,0.016533783770744288,1085,0.5261565471992763,2024-06-26
M75,200.0,109,0.05675069755625312,0.0013020297600934941,751,0.06632729948122555,0.0024909316000674515,751,0.09351193444547895,0.004690491390016251,751,0.0831190127031146,0.004453518456732311,751,0.13221321156751936,0.006390534076646852,751,0.23033969030875498,0.013846485328467401,751,0.2613739541938873,0.016735908044678928,751,0.2502234569402255,0.019250550866712846,751,0.2645862645379078,0.014653036530015139,751,0.5012995926258792,2024-06-26
M38,200.0,209,0.05688709219525406,0.0014983738964992185,869,0.06744730678334472,0.0024714038730539603,869,0.0969860660741738,0.0033246806785011875,869,0.08688873361251707,0.004858126036166739,869,0.1369767095743581,0.004378358540353395,869,0.23308632590553977,0.011891507543012226,869,0.26324515567687357,0.01445386457441644,869,0.25265545071337386,0.016474389178100228,869,0.2659812725317355,0.012159723225017103,869,0.4882036705472052,2024-06-26
M62,200.0,309,0.05433952113097951,0.0012186669840366054,943,0.0632644604776975,0.0019437759720846298,943,0.09510324261727035,0.0029554427538751025,943,0.0790158026038905,0.0034965281029531495,943,0.1352529596549203,0.0038364827760102036,943,0.2550698661601935,0.011659335962994139,943,0.29396835440416225,0.015362965118246589,943,0.28964424335564687,0.018220481189988685,943,0.2942823974350477,0.013436545264290447,943,0.5713351448311653,2024-06-26
M25,200.0,409,0.05422475147832391,0.001740144776962814,978,0.0635917406140661,0.0028651266311047795,978,0.09464814667808985,0.004105362340458755,978,0.08122214412884235,0.004958487590242568,978,0.13448993706264378,0.005165942377700749,978,0.23779616716693028,0.014217119651198195,978,0.27042786767877686,0.018342067163371594,978,0.26157959546048215,0.022034333528522663,978,0.2724116974813075,0.01620232787568432,978,0.5261275848474618,2024-06-26
M76,200.0,110,0.056499067683853106,0.001660600511641289,738,0.06628470692208142,0.003035384268981455,738,0.09363533164750593,0.0038354982190592383,738,0.08408641556737223,0.0056162945086855615,738,0.13262765775851118,0.00454926016211425,738,0.22620865323033112,0.012934259415989519,738,0.2551110533840934,0.017128228158347383,738,0.24175603602959858,0.01956271288899657,738,0.2578087369923992,0.014637621735736454,738,0.4838829921929428,2024-06-26
M75,200.0,210,0.05593974969325922,0.0014901408200859577,975,0.065770021096254,0.0025496632508022325,975,0.09352512457431891,0.0033965063046345312,975,0.08403227977263622,0.004567663317888446,975,0.13257915790264424,0.004084208515518742,975,0.22985504932892628,0.011781904410704614,975,0.26122522598657855,0.015066904516158396,975,0.2496541967147436,0.017262361900670428,975,0.2634672976762821,0.012884225840072714,975,0.49633991369851416,2024-06-26
GAVINA,200.0,310,0.0538599985950398,0.0016247400366168085,954,0.06275476899536901,0.0026460999297233264,954,0.09386022635725809,0.003518883102286918,954,0.07916010250835298,0.004153291736128872,954,0.13430381471006125,0.0038701839677274526,954,0.24773328609186648,0.012043600217866867,954,0.28313486031266377,0.014798105986456667,954,0.27641680255625983,0.017240808178202987,954,0.2838944089237749,0.012877447165517109,954,0.5547511585772502,2024-06-26
M2,200.0,410,0.05451406273017159,0.0013207807898478125,769,0.06375552649925838,0.0021859556201435488,769,0.09631480600185915,0.003227730543844629,769,0.07962780222006055,0.003449758141985499,769,0.13686455179717977,0.004172076236173737,769,0.2561985209332331,0.013520107987162798,769,0.2961468045516194,0.01611658598553897,769,0.2917489596244108,0.019309341917499764,769,0.2945141538066889,0.01434201925050837,769,0.5711750954767179,2024-06-26
M97,200.0,111,0.05183665533051412,0.0010784872984142652,663,0.059677952554970305,0.0017780779967572268,663,0.09002260924464438,0.0030673624095776592,663,0.07498595869199542,0.0025783306256425787,663,0.13106605909528776,0.0038508947714100774,663,0.24623648757129055,0.011206055680994626,663,0.2804495464802508,0.014896541938175979,663,0.27200943384415066,0.016491266024117233,663,0.281670571811958,0.01240456073800822,663,0.5677985339002204,2024-06-26
M110B,200.0,211,0.05412780505984855,0.0017410213337464245,716,0.06306265719110073,0.0028942241977622176,716,0.09106305724415699,0.003614007135035131,716,0.08068296762818065,0.004787591796950883,716,0.1307711254951008,0.004255077826359098,716,0.23652776792728702,0.012912805786151917,716,0.27182098473916505,0.01747256815735825,716,0.262322345925443,0.019060594418692886,716,0.2734061725978745,0.014895588467556845,716,0.5295526661538605,2024-06-26
M25,200.0,311,0.05243040576125636,0.0016034014031109385,1056,0.06061585021741463,0.0024814520973947905,1056,0.09080014084324692,0.0038318393157306713,1056,0.0775660818273371,0.003784591398809766,1056,0.13061347152247574,0.004672527911189957,1056,0.24051975481437915,0.011591716642901415,1056,0.2745982083407315,0.014260173091660762,1056,0.2667044726285068,0.01604643571475029,1056,0.2763102560332327,0.012032429492499754,1056,0.5493888116575144,2024-06-26
GAVINA,200.0,411,0.053445551130506724,0.0023738424116747773,1008,0.06181770279293969,0.003821248288873699,1008,0.09204765350099593,0.004924874604011078,1008,0.07886110033307757,0.006520809733586444,1008,0.13135577005053323,0.005931536472485297,1008,0.24435144757467603,0.014223299313651051,1008,0.2832449958437965,0.020464517350343017,1008,0.27892836313399055,0.023847479223380316,1008,0.28372840275840155,0.018485876311194836,1008,0.5591759490685161,2024-06-26
M110B,200.0,112,0.05535451889038086,0.00131375474191663,800,0.06466465950012207,0.002147910656761007,800,0.09290233612060547,0.003046584185150489,800,0.08123140335083008,0.004177491401285856,800,0.1330721664428711,0.00399091922962613,800,0.23880630493164062,0.012756825273570575,800,0.273880615234375,0.016677907737274254,800,0.265218620300293,0.01950191613948515,800,0.27585142135620117,0.014334579296065015,800,0.5310642355006417,2024-06-26
RICASTELLO,200.0,212,0.05566508070866864,0.001853917393796077,1064,0.0662703119722524,0.0032369241447717063,1064,0.09931083908654693,0.004111634790622972,1064,0.0843735745078639,0.006377149944008385,1064,0.14127458844866073,0.005497312351006033,1064,0.24647760032711172,0.01715225032947856,1064,0.2787617848331767,0.021975748123724256,1064,0.27129553314438437,0.025521572841870614,1064,0.2798232458587876,0.019442730633870937,1064,0.5255501661934651,2024-06-26
M75,200.0,312,0.056148342057770376,0.0012521616632655758,816,0.06627462424483954,0.00200682669732445,816,0.09445496166453642,0.0030814993863788076,816,0.08432147082160502,0.003525438982515327,816,0.13283650080362955,0.003921737552791268,816,0.22885270212210862,0.011520144991732699,816,0.2596963433658375,0.01415559643203669,816,0.250211472604789,0.016220098875540923,816,0.2625860139435413,0.01220460839263483,816,0.4958853979643536,2024-06-26
COPS7,200.0,412,0.05556087247664784,0.0015171348906289478,1007,0.06499062228463257,0.0027336791664999745,1007,0.09607329079742583,0.0040120789686801175,1007,0.08268087741279792,0.005687655374240084,1007,0.1355938726764213,0.004994279343782836,1007,0.243033173304447,0.01467095942341064,1007,0.2796790872098436,0.01996875175500614,1007,0.2747984567015268,0.02302525217639482,1007,0.2807685677794501,0.01826053996473956,1007,0.537422896808038,2024-06-26
QJGC,200.0,113,0.05550455688354125,0.0012351975267470467,997,0.06525436447281296,0.002166339310164209,997,0.0950326106493308,0.0037985718114277494,997,0.08177028185386237,0.0038287569068762707,997,0.13494242493104314,0.004755165019492182,997,0.2407938078150467,0.012302245408670226,997,0.2741503930737525,0.016303120766387222,997,0.26608542669022694,0.018603982491172868,997,0.2766552526231037,0.014655602487212005,997,0.5298609173550572,2024-06-26
M25,200.0,213,0.055199225562580084,0.0012261016795870779,878,0.0646552083704086,0.0020486624208129025,878,0.09433685511282745,0.0035113246184444815,878,0.08132642602594675,0.003944587976161281,878,0.13438342535414294,0.004495528302111533,878,0.24142238816802214,0.013496421929635407,878,0.27462904111127917,0.017191569257166535,878,0.2669228834008845,0.01978927833869809,878,0.2768410267753862,0.01563518758621711,878,0.5329413507822975,2024-06-26
M38,200.0,313,0.05655847497888514,0.0012926341874740224,925,0.06738508069837415,0.0021544747973270273,925,0.0979545057142103,0.0030238989240891413,925,0.08665205671980575,0.004796416159844286,925,0.13781673946896114,0.004273683351117792,925,0.23511296452702704,0.013556751083805246,925,0.26562305347339527,0.016716413449581552,925,0.2570973164326436,0.01919447588072227,925,0.267976635082348,0.014964552491310665,925,0.4958416597235426,2024-06-26
JSENDRA,200.0,413,0.056236695406729716,0.0013086571383853364,855,0.06668814497384412,0.002232976051524521,855,0.09556904396815606,0.003356860915540478,855,0.08536509017498173,0.004482914068519767,855,0.13397354215209248,0.004396622457804461,855,0.23443050272980628,0.011668282463646241,855,0.26981322528326024,0.01455735677333238,855,0.2618329321431835,0.016674401265320944,855,0.2711559451811495,0.013064047909035021,855,0.508262808612689,2024-06-26
JSENDRA,200.0,114,0.05593576011417797,0.0011927823604871565,795,0.06515956374834168,0.002125436572535615,795,0.09185767983490566,0.003344422115002392,795,0.08190736590691333,0.00408244559629604,795,0.13097135915696245,0.004253476115483606,795,0.2357240688875786,0.011817764548603013,795,0.27157132130748823,0.016695216846733557,795,0.2628548484178459,0.018407949595518863,795,0.27406679549307195,0.015068645786934544,795,0.5248471990044814,2024-06-26
M28,200.0,214,0.05832849312058138,0.0016054486616647176,831,0.06961443794333116,0.0029533070843481154,831,0.10017220580907792,0.004342563713970758,831,0.08824551578893558,0.006588298228952277,831,0.14080696702720744,0.0055502653692708305,831,0.23813986290519706,0.01696721760224957,831,0.26866162755716005,0.021561133905778504,831,0.25868105744913883,0.024406754734358417,831,0.27022639709546104,0.019466831180250225,831,0.4912726634613942,2024-06-26
COPS7,200.0,314,0.055530591719941236,0.0011765508870847637,787,0.06518780564110646,0.0021603307795087403,787,0.09573742334542765,0.004095431014969415,787,0.0813224239906786,0.0037593641910932843,787,0.13575645747299872,0.005807848745626691,787,0.2489443709919989,0.013409015450865326,787,0.2857013784793917,0.016504038827148647,787,0.28014000549704177,0.018848101778844082,787,0.28644240887071154,0.014852521828357435,787,0.5500366436095053,2024-06-26
RICASTELLO,200.0,414,0.05491546973527029,0.0014164601354262187,757,0.06534042761536854,0.0025232542496328057,757,0.09943444316264345,0.0049714100399945995,757,0.08288875564716294,0.004549755788452926,757,0.1414177414605608,0.00677716310037926,757,0.25394523348487036,0.01556514839122081,757,0.29037560245004956,0.019445768956772875,757,0.28516624783272787,0.022523145338348358,757,0.29021112197613935,0.016833905220823592,757,0.5495849540777038,2024-06-26
RICASTELLO,100.0,101,0.05511583419274808,0.0016976324630663963,901,0.06455521154879995,0.0030211910730251826,901,0.09463068277272214,0.004463077382069682,901,0.08189886603318361,0.005772518099225992,901,0.1361407619734583,0.005942811275745593,901,0.24118389167743307,0.017151094907124066,901,0.273033760231687,0.022992775756020226,901,0.2644466861635943,0.026443442833914397,901,0.27629663465290305,0.020298707831310128,901,0.5270684695459732,2024-06-26
GAVINA,100.0,201,0.055024904253585395,0.001198343844419757,767,0.06412033618195893,0.0018488746726986994,767,0.09322118448309669,0.0030939821166722243,767,0.07996552428801336,0.003326687980171304,767,0.13396517518601797,0.003810919779581236,767,0.24483926666140401,0.011298205942506944,767,0.27953301818927234,0.01408481090694054,767,0.2722783890665743,0.0169839882190629,767,0.2814817266949153,0.012861830900142096,767,0.5459650471943528,2024-06-26
OJGC,100.0,301,0.054684585571289065,0.001861831776251819,1000,0.06425360107421875,0.0027341321684651683,1000,0.09537899780273437,0.0046135388061801135,1000,0.08129008483886718,0.004267628127342285,1000,0.13623880004882813,0.0058738575346662224,1000,0.24354183959960937,0.012583700571834947,1000,0.276760986328125,0.01472903332844255,1000,0.26966912841796875,0.01746385179252074,1000,0.27969207763671877,0.013207029933051237,1000,0.5367548035880844,2024-06-26
M76,100.0,401,0.05448319025476841,0.001124743248011641,589,0.06378296235218922,0.002037269803990622,589,0.0927007056658863,0.0030316432817967193,589,0.08055873799607385,0.003413373569069435,589,0.13264807294706335,0.003993415156794445,589,0.2393011277721774,0.009719042824786611,589,0.2755647150891341,0.012326962169693815,589,0.2674563914689224,0.01469625837129713,589,0.2779020817858659,0.011145580435569425,589,0.5370388746034299,2024-06-26
COPS7,100.0,102,0.055169559393590265,0.0012311236504397923,851,0.06379546850184296,0.0021279226190366258,851,0.09065546020077482,0.0028876520784948644,851,0.07989414094057543,0.003909196387604125,851,0.13012481043957935,0.0036616212613973078,851,0.23427699231373017,0.013772214124758873,851,0.2678549348537566,0.018738948035965833,851,0.2588738733957293,0.021589986952641492,851,0.2711641735251726,0.01619146281235361,851,0.5283253580058345,2024-06-26
M2,100.0,202,0.055917207321318066,0.0008821530166508386,1010,0.06532192419071009,0.001455649800848118,1010,0.09706730606532334,0.002808728733519185,1010,0.08029879579449645,0.0030521065312879236,1010,0.139158826771349,0.00379721675008089,1010,0.26096502625116025,0.012746659735009193,1010,0.3009285804068688,0.01647383145945204,1010,0.2977116953028311,0.0194318093815146,1010,0.3004645319268255,0.014677111348619447,1010,0.5751504379606138,2024-06-26
M97,100.0,302,0.05334096005088405,0.001724961653080285,950,0.062042529457493834,0.0025026127456363235,950,0.09456411261307565,0.0036161665165224143,950,0.07813915051912007,0.0040441513891982086,950,0.13722335012335526,0.004699178789353982,950,0.2509076088353207,0.013111534156312131,950,0.2852407997532895,0.015828758093490915,950,0.2802979800575658,0.01837882007654204,950,0.28735383686266447,0.014224182609811467,950,0.564000803190212,2024-06-26
M75,100.0,402,0.0557995452184111,0.0012827753614832206,657,0.0659180848747265,0.0022153973924050646,657,0.09477102665777802,0.0031518134623684272,657,0.08379491170247395,0.004176761421992097,657,0.1348608937256231,0.004221881537210496,657,0.23205438669050846,0.011874450046723646,657,0.264883613296114,0.014223161541166249,657,0.2560502376004804,0.016407885295193443,657,0.2681844818719083,0.01289875067727592,657,0.5068641593128927,2024-06-26
GAVINA,100.0,103,0.05471625972438503,0.0018601017596411576,740,0.06296659933554159,0.002967084574920462,740,0.09065368239944045,0.0039771345851316205,740,0.07771903373099662,0.004761343648867949,740,0.13059139767208616,0.0048110797028239425,740,0.24466659958298143,0.013384736221100252,740,0.28232294031091637,0.02038172895927705,740,0.27657047993427997,0.023172133549590277,740,0.2845521050530511,0.018232224963906616,740,0.5612682242442912,2024-06-26
