date,Codi,Parcela,Varietat,Dosi N,nitrogeno,B1_count,B01,stdv_B1,B2_count,B02,stdv_B2,B3_count,B03,stdv_B3,B4_count,B04,stdv_B4,B5_count,B05,stdv_B5,B6_count,B06,stdv_B6,B7_count,B07,stdv_B7,B8_count,B08,stdv_B8,B9_count,B09,stdv_B9
20240703,10,101,Ricastello,100,100 kg N/ha,951,0.0412143467446607,0.00170597472342929,951,0.0344560031263015,0.00530102494691262,951,0.0612889578415142,0.00998029851953408,951,0.0447482099691964,0.00614708721027726,951,0.0991165122148492,0.0103935701275389,951,0.251243650184633,0.0356056586216111,951,0.337013525949041,0.0523846184811693,951,0.368766012769016,0.0658222699473558,951,0.358706817798685,0.0547144076577911
20240703,11,102,Copsemar7,100,100 kg N/ha,1008,0.0410323524145439,0.00187691354339755,1008,0.0332706909578678,0.00536296099178464,1008,0.0560171719721799,0.00927631418417,1008,0.0434059303120843,0.00597924408763303,1008,0.0934964438072509,0.00964435215472907,1008,0.23982789324567,0.0253659040304365,1008,0.32656471307079,0.0326012048619384,1008,0.356992287443034,0.0403276396427116,1008,0.345485382077713,0.0325003100495258
20240703,12,103,Gavina,100,100 kg N/ha,1009,0.0415159386681435,0.00131477129417987,1009,0.0354246935512727,0.00353038393508368,1009,0.0608927934505304,0.00775876356808075,1009,0.0456741049376245,0.00348802716091003,1009,0.0996476278757553,0.00769255298976955,1009,0.262427029926311,0.0200915942745839,1009,0.346956262400058,0.0249385586064864,1009,0.382110584981378,0.0337204204283414,1009,0.367083779204825,0.0272339937453425
20240703,1,104,Magic1,100,100 kg N/ha,724,0.0434068394053048,0.00124675236872771,724,0.0403260185141425,0.00355094097357838,724,0.0708011154918957,0.00892259177075174,724,0.0477495523817961,0.00280133220927948,724,0.108435784687818,0.00873661078712766,724,0.289641490257577,0.0236818359808944,724,0.375671097874971,0.028156494062602,724,0.416120867990986,0.0384262889423947,724,0.394842253864141,0.0301800127874464
20240703,2,105,Magic2,100,100 kg N/ha,1154,0.0420022966014141,0.00166085396715078,1154,0.0390070917430226,0.00456110215587735,1154,0.0724321973786094,0.0110532090997681,1154,0.0490140272126867,0.00465465352132025,1154,0.113659795270377,0.0117002579834487,1154,0.267992910081634,0.0275555477157055,1154,0.322639086979411,0.0280427587690976,1154,0.347864386811207,0.0383616913701169,1154,0.335115506844773,0.0304654753806509
20240703,3,106,Magic3,100,100 kg N/ha,741,0.0438482323347235,0.0024251708605782,741,0.04303615413576,0.00662700840617892,741,0.0736108919990208,0.0136150888984901,741,0.0516900509676309,0.00575086847246745,741,0.115172491714298,0.0128777634414517,741,0.272537337985599,0.0298394238362145,741,0.331877639378935,0.0325623774771809,741,0.359592865453719,0.0445606562778656,741,0.341847655643657,0.0356938991833597
20240703,4,107,Magic4,100,100 kg N/ha,1044,0.0429109331876953,0.00196394592128676,1044,0.0411707028582464,0.00565387723637779,1044,0.0702916886728842,0.0105641862118583,1044,0.0508099871391423,0.00585804044105201,1044,0.113278226355997,0.0118365722215557,1044,0.268144320468222,0.024208489354026,1044,0.328830780853942,0.0245246018955578,1044,0.356139982169159,0.0343840360800534,1044,0.342554345070402,0.0282317842860915
20240703,5,108,Magic5,100,100 kg N/ha,854,0.041602563396515,0.00124492055929951,854,0.0347250453229182,0.00338877294416296,854,0.057430498594248,0.00666570963081581,854,0.0443926147279053,0.00377681248894561,854,0.0938695566314305,0.00681032037046709,854,0.235134925736895,0.0227795657918425,854,0.31636552692367,0.0269263409477399,854,0.340798153443833,0.0326096643118184,854,0.33587295207821,0.0275225443954022
20240703,6,109,Magic6,100,100 kg N/ha,844,0.0419496392160301,0.00171631870803918,844,0.0363439106232359,0.00502668830267674,844,0.0589879497453147,0.00961072479535251,844,0.0452846651764419,0.00492533572056707,844,0.0961935566164447,0.0091869255643365,844,0.23678258518684,0.024296566161496,844,0.313419040557332,0.0296404680820453,844,0.340576666738326,0.0378216545410162,844,0.33055962090738,0.0300383721473708
20240703,7,110,Magic7,100,100 kg N/ha,657,0.0419894798376698,0.0015189792504075,657,0.036920275658233,0.00392230277633758,657,0.060024787653436,0.00805721824153444,657,0.0452516831434934,0.00302317251785649,657,0.0982469058449591,0.00745708089212576,657,0.248957106194358,0.0220499747606228,657,0.328536733599377,0.0268030081003438,657,0.35979106967852,0.0341904841480565,657,0.347518060214625,0.0270181408194115
